2026-03-08 20:57:07,306 - INFO - 加载数据集: network.douban11core
2026-03-08 20:57:07,308 - INFO - --- 矩阵分析 ---
2026-03-08 20:57:07,308 - INFO - 节点数 (N): 5123
2026-03-08 20:57:07,308 - INFO - 边数 (E): 129298
2026-03-08 20:57:07,308 - INFO - 密度 (Density): 0.00492655 (越小越稀疏)
2026-03-08 20:57:07,308 - INFO - 稀疏度 (Sparsity): 0.99507345 (越接近1越稀疏)
2026-03-08 20:57:07,308 - INFO - 平均度数 (Avg Degree): 25.24
2026-03-08 20:57:07,308 - INFO - >>> 正在注入完美对抗属性（验证三条定理）...
2026-03-08 20:57:07,430 - INFO - 首次生成种子集 random
2026-03-08 20:57:07,430 - INFO - 执行当前算法开始: random
2026-03-08 20:57:07,430 - INFO - 数据集节点总数:  n = 5123, m = 100
2026-03-08 20:57:07,430 - INFO - 选择 100  [4696, 4048, 2841, 3335, 439, 101, 3343, 1902, 3018, 203, 689, 3078, 2952, 3409, 4081, 2185, 4591, 885, 4503, 2501, 28, 4443, 1978, 1069, 3877, 4278, 3077, 2397, 549, 4115, 1452, 733, 2217, 3367, 3096, 3577, 1537, 985, 1283, 948, 3706, 2970, 4838, 2127, 4331, 3858, 1351, 4794, 2123, 4089, 3456, 1140, 755, 1510, 4743, 4639, 4407, 4163, 306, 1657, 4371, 1485, 211, 1470, 356, 2833, 2510, 3378, 1860, 2382, 37, 2372, 2084, 297, 903, 595, 4051, 3959, 548, 1528, 4364, 1550, 516, 1730, 4670, 852, 1679, 68, 1176, 4130, 938, 4045, 4581, 4499, 1401, 3006, 1970, 4662, 3109, 718]

2026-03-08 20:57:07,430 - INFO - 当前用时 0.00 秒
2026-03-08 20:57:07,430 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/network.douban11core/2026-3-7/seeds-with-network.douban11core/random_random_seedNum-100_SSRNum-50000.txt
2026-03-08 20:57:07,430 - INFO - 首次生成种子集 degreeTopM
2026-03-08 20:57:07,431 - INFO - 执行当前算法开始: degreeTopM
2026-03-08 20:57:07,431 - INFO - 依据: 选择连接数（度数）最多的节点。
2026-03-08 20:57:07,431 - INFO - 选择的 Top M 节点及其度数:
2026-03-08 20:57:07,431 - INFO - 
2026-03-08 20:57:07,431 - INFO - 当前用时 0.00 秒
2026-03-08 20:57:07,432 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/network.douban11core/2026-3-7/seeds-with-network.douban11core/random_degreeTopM_seedNum-100_SSRNum-50000.txt
2026-03-08 20:57:07,432 - INFO - 首次生成种子集 pageRank
2026-03-08 20:57:07,432 - INFO - 执行当前算法开始: pageRank
2026-03-08 20:57:07,432 - INFO - --- Running: PageRank (on tranProMatrix) Top M ---
2026-03-08 20:57:08,213 - INFO - Selected PageRank seeds: [413, 135, 2568, 94, 2360, 412, 922, 644, 249, 1629, 295, 1195, 958, 1169, 2367, 11, 454, 590, 48, 1537, 1303, 1068, 1514, 902, 2005, 2595, 451, 744, 396, 2757, 2960, 2716, 100, 1604, 27, 611, 416, 2943, 2745, 696, 766, 855, 1186, 2542, 2395, 2242, 1166, 1595, 299, 142, 2409, 1892, 846, 2286, 1515, 3812, 137, 192, 899, 884, 2713, 4015, 197, 1882, 583, 2411, 3702, 114, 331, 228, 2403, 2590, 3936, 1941, 227, 380, 303, 979, 1173, 987, 1413, 1361, 3169, 1390, 2642, 2660, 230, 2187, 1423, 1192, 1815, 205, 821, 2205, 1117, 849, 1268, 2129, 926, 1520]
2026-03-08 20:57:08,214 - INFO - 当前用时 0.78 秒
2026-03-08 20:57:08,214 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/network.douban11core/2026-3-7/seeds-with-network.douban11core/random_pageRank_seedNum-100_SSRNum-50000.txt
2026-03-08 20:57:08,214 - INFO - 首次生成种子集 alpha_sort
2026-03-08 20:57:08,214 - INFO - 执行当前算法开始: alpha_sort
2026-03-08 20:57:08,215 - INFO - 5123 个节点的alpha值降序排序 done
2026-03-08 20:57:08,215 - INFO - ==============>> [(4099, np.float64(0.3)), (4100, np.float64(0.3)), (4101, np.float64(0.3)), (4102, np.float64(0.3)), (4103, np.float64(0.3)), (4104, np.float64(0.3)), (4105, np.float64(0.3)), (4106, np.float64(0.3)), (4107, np.float64(0.3)), (4108, np.float64(0.3))]
2026-03-08 20:57:08,215 - INFO - 
选择的种子集 (按alpha排序): [4099, 4100, 4101, 4102, 4103, 4104, 4105, 4106, 4107, 4108, 4109, 4110, 4111, 4112, 4113, 4114, 4115, 4116, 4117, 4118, 4119, 4120, 4121, 4122, 4123, 4124, 4125, 4126, 4127, 4128, 4129, 4130, 4131, 4132, 4133, 4134, 4135, 4136, 4137, 4138, 4139, 4140, 4141, 4142, 4143, 4144, 4145, 4146, 4147, 4148, 4149, 4150, 4151, 4152, 4153, 4154, 4155, 4156, 4157, 4158, 4159, 4160, 4161, 4162, 4163, 4164, 4165, 4166, 4167, 4168, 4169, 4170, 4171, 4172, 4173, 4174, 4175, 4176, 4177, 4178, 4179, 4180, 4181, 4182, 4183, 4184, 4185, 4186, 4187, 4188, 4189, 4190, 4191, 4192, 4193, 4194, 4195, 4196, 4197, 4198]

2026-03-08 20:57:08,215 - INFO - 当前用时 0.00 秒
2026-03-08 20:57:08,215 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/network.douban11core/2026-3-7/seeds-with-network.douban11core/random_alpha_sort_seedNum-100_SSRNum-50000.txt
2026-03-08 20:57:08,215 - INFO - 首次生成种子集 ris_optimized
2026-03-08 20:57:08,216 - INFO - 执行当前算法开始: ris_optimized
2026-03-08 20:57:08,728 - INFO - 图初始化完成，节点数: 5123，当前模式: 优化采样
2026-03-08 20:57:08,729 - INFO - 开始生成 50000 组多重RR-Set...
2026-03-08 20:57:59,384 - INFO - 生成完毕。耗时: 50.66 秒。
2026-03-08 20:57:59,401 - INFO - 开始基于多重RR集贪心选择最优种子...
2026-03-08 20:58:03,784 - INFO - 选种完毕。耗时: 4.38 秒。估算范围: 187.81
2026-03-08 20:58:04,920 - INFO - 当前用时 56.70 秒
2026-03-08 20:58:04,920 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/network.douban11core/2026-3-7/seeds-with-network.douban11core/random_ris_optimized_seedNum-100_SSRNum-50000.txt
2026-03-08 20:58:04,921 - INFO - 首次生成种子集 monterCarlo_CELF
2026-03-08 20:58:04,921 - INFO - 执行当前算法开始: monterCarlo_CELF
2026-03-08 20:58:04,921 - INFO - --- Running: CELF Greedy Monte Carlo (Sims=100) ---
2026-03-08 20:58:04,921 - INFO - Step 0: 初始化所有节点的边际增益...
2026-03-08 20:59:14,275 - INFO - Seed 1: 77, Spread: 0.95
2026-03-08 20:59:16,582 - INFO - Seed 2: 49, Gain: 0.89, Total: 1.84
2026-03-08 20:59:16,677 - INFO - Seed 3: 132, Gain: 0.90, Total: 2.74
2026-03-08 20:59:34,184 - INFO - Seed 4: 206, Gain: 0.87, Total: 3.61
2026-03-08 20:59:44,280 - INFO - Seed 5: 2344, Gain: 0.91, Total: 4.52
2026-03-08 21:00:46,394 - INFO - Seed 6: 1343, Gain: 0.82, Total: 5.34
2026-03-08 21:00:48,902 - INFO - Seed 7: 255, Gain: 0.82, Total: 6.16
2026-03-08 21:01:02,716 - INFO - Seed 8: 2124, Gain: 0.82, Total: 6.98
2026-03-08 21:01:05,249 - INFO - Seed 9: 2387, Gain: 0.83, Total: 7.81
2026-03-08 21:01:05,408 - INFO - Seed 10: 2388, Gain: 0.84, Total: 8.65
2026-03-08 21:01:06,659 - INFO - Seed 11: 2534, Gain: 0.84, Total: 9.49
2026-03-08 21:01:17,772 - INFO - Seed 12: 365, Gain: 0.91, Total: 10.40
2026-03-08 21:01:23,756 - INFO - Seed 13: 324, Gain: 0.82, Total: 11.22
2026-03-08 21:03:21,427 - INFO - Seed 14: 1200, Gain: 0.80, Total: 12.02
2026-03-08 21:03:30,476 - INFO - Seed 15: 537, Gain: 0.80, Total: 12.82
2026-03-08 21:03:45,571 - INFO - Seed 16: 1463, Gain: 0.83, Total: 13.65
2026-03-08 21:03:56,828 - INFO - Seed 17: 2052, Gain: 0.82, Total: 14.47
2026-03-08 21:04:25,969 - INFO - Seed 18: 3761, Gain: 0.79, Total: 15.26
2026-03-08 21:04:57,786 - INFO - Seed 19: 1960, Gain: 0.86, Total: 16.12
2026-03-08 21:05:00,306 - INFO - Seed 20: 2076, Gain: 0.82, Total: 16.94
2026-03-08 21:05:01,622 - INFO - Seed 21: 2139, Gain: 0.83, Total: 17.77
2026-03-08 21:05:40,829 - INFO - Seed 22: 3953, Gain: 0.79, Total: 18.56
2026-03-08 21:07:10,007 - INFO - Seed 23: 237, Gain: 0.80, Total: 19.36
2026-03-08 21:07:31,620 - INFO - Seed 24: 1715, Gain: 0.84, Total: 20.20
2026-03-08 21:13:12,290 - INFO - Seed 25: 2750, Gain: 0.71, Total: 20.91
2026-03-08 21:13:18,591 - INFO - Seed 26: 475, Gain: 0.80, Total: 21.71
2026-03-08 21:14:25,964 - INFO - Seed 27: 658, Gain: 0.85, Total: 22.56
2026-03-08 21:14:43,934 - INFO - Seed 28: 1476, Gain: 0.75, Total: 23.31
2026-03-08 21:15:44,296 - INFO - Seed 29: 3522, Gain: 0.69, Total: 24.00
2026-03-08 21:15:46,135 - INFO - Seed 30: 2141, Gain: 0.84, Total: 24.84
2026-03-08 21:15:46,625 - INFO - Seed 31: 2313, Gain: 0.69, Total: 25.53
2026-03-08 21:15:55,157 - INFO - Seed 32: 3677, Gain: 0.77, Total: 26.30
2026-03-08 21:15:56,180 - INFO - Seed 33: 712, Gain: 0.73, Total: 27.03
2026-03-08 21:16:00,379 - INFO - Seed 34: 879, Gain: 0.74, Total: 27.77
2026-03-08 21:16:03,056 - INFO - Seed 35: 1119, Gain: 0.72, Total: 28.49
2026-03-08 21:16:03,608 - INFO - Seed 36: 1209, Gain: 0.71, Total: 29.20
2026-03-08 21:16:05,311 - INFO - Seed 37: 1375, Gain: 0.77, Total: 29.97
2026-03-08 21:16:05,894 - INFO - Seed 38: 1459, Gain: 0.77, Total: 30.74
2026-03-08 21:16:13,554 - INFO - Seed 39: 1804, Gain: 0.82, Total: 31.56
2026-03-08 21:16:20,295 - INFO - Seed 40: 2292, Gain: 0.86, Total: 32.42
2026-03-08 21:16:47,040 - INFO - Seed 41: 3989, Gain: 0.92, Total: 33.34
2026-03-08 21:18:53,842 - INFO - Seed 42: 361, Gain: 0.69, Total: 34.03
2026-03-08 21:19:24,062 - INFO - Seed 43: 2640, Gain: 0.74, Total: 34.77
2026-03-08 21:19:50,559 - INFO - Seed 44: 1014, Gain: 0.68, Total: 35.45
2026-03-08 21:20:00,097 - INFO - Seed 45: 689, Gain: 0.74, Total: 36.19
2026-03-08 21:20:01,485 - INFO - Seed 46: 169, Gain: 0.99, Total: 37.18
2026-03-08 21:20:21,394 - INFO - Seed 47: 1964, Gain: 0.72, Total: 37.90
2026-03-08 21:20:30,138 - INFO - Seed 48: 380, Gain: 1.12, Total: 39.02
2026-03-08 21:24:29,125 - INFO - Seed 49: 2368, Gain: 0.68, Total: 39.70
2026-03-08 21:25:45,898 - INFO - Seed 50: 1432, Gain: 0.65, Total: 40.35
2026-03-08 21:25:49,855 - INFO - Seed 51: 1111, Gain: 0.65, Total: 41.00
2026-03-08 21:25:57,221 - INFO - Seed 52: 6, Gain: 0.97, Total: 41.97
2026-03-08 21:25:58,045 - INFO - Seed 53: 242, Gain: 0.68, Total: 42.65
2026-03-08 21:26:00,592 - INFO - Seed 54: 1647, Gain: 0.76, Total: 43.41
2026-03-08 21:26:10,407 - INFO - Seed 55: 2687, Gain: 0.69, Total: 44.10
2026-03-08 21:26:11,279 - INFO - Seed 56: 1456, Gain: 0.68, Total: 44.78
2026-03-08 21:26:12,150 - INFO - Seed 57: 1427, Gain: 0.74, Total: 45.52
2026-03-08 21:26:14,821 - INFO - Seed 58: 604, Gain: 0.85, Total: 46.37
2026-03-08 21:26:15,728 - INFO - Seed 59: 577, Gain: 0.86, Total: 47.23
2026-03-08 21:26:16,641 - INFO - Seed 60: 545, Gain: 0.76, Total: 47.99
2026-03-08 21:26:17,567 - INFO - Seed 61: 367, Gain: 0.85, Total: 48.84
2026-03-08 21:26:21,547 - INFO - Seed 62: 1837, Gain: 0.99, Total: 49.83
2026-03-08 21:26:27,388 - INFO - Seed 63: 376, Gain: 0.90, Total: 50.73
2026-03-08 21:26:29,536 - INFO - Seed 64: 3156, Gain: 0.75, Total: 51.48
2026-03-08 21:26:45,269 - INFO - Seed 65: 1778, Gain: 0.67, Total: 52.15
2026-03-08 21:26:52,449 - INFO - Seed 66: 3006, Gain: 0.67, Total: 52.82
2026-03-08 21:26:54,505 - INFO - Seed 67: 3091, Gain: 0.87, Total: 53.69
2026-03-08 21:27:19,342 - INFO - Seed 68: 425, Gain: 0.84, Total: 54.53
2026-03-08 21:27:27,031 - INFO - Seed 69: 130, Gain: 0.72, Total: 55.25
2026-03-08 21:27:33,787 - INFO - Seed 70: 1873, Gain: 0.66, Total: 55.91
2026-03-08 21:27:34,909 - INFO - Seed 71: 1671, Gain: 0.79, Total: 56.70
2026-03-08 21:27:36,074 - INFO - Seed 72: 1303, Gain: 0.97, Total: 57.67
2026-03-08 21:27:45,398 - INFO - Seed 73: 4013, Gain: 1.03, Total: 58.70
