2026-03-05 00:33:44,795 - INFO - 加载数据集: synthetic_sw_2000
2026-03-05 00:33:44,796 - INFO - --- 矩阵分析 ---
2026-03-05 00:33:44,796 - INFO - 节点数 (N): 2000
2026-03-05 00:33:44,796 - INFO - 边数 (E): 31400
2026-03-05 00:33:44,796 - INFO - 密度 (Density): 0.00785000 (越小越稀疏)
2026-03-05 00:33:44,796 - INFO - 稀疏度 (Sparsity): 0.99215000 (越接近1越稀疏)
2026-03-05 00:33:44,796 - INFO - 平均度数 (Avg Degree): 15.70
2026-03-05 00:33:44,797 - INFO - >>> 正在为合成图注入【单券路由存活率】对抗性概率分布...
2026-03-05 00:33:44,811 - INFO - >>> 正在切断社区的死亡回流，打造完美信息茧房...
2026-03-05 00:33:44,832 - INFO - 首次生成种子集 random
2026-03-05 00:33:44,832 - INFO - 执行当前算法开始: random
2026-03-05 00:33:44,832 - INFO - 数据集节点总数:  n = 2000, m = 100
2026-03-05 00:33:44,832 - INFO - 选择 100  [1962, 91, 1009, 148, 73, 510, 1617, 1333, 1191, 1572, 250, 845, 1578, 1330, 86, 713, 1993, 288, 816, 563, 1441, 1197, 185, 1601, 1038, 663, 689, 261, 111, 1489, 1339, 1279, 102, 696, 755, 1964, 1896, 357, 1586, 1980, 699, 1266, 924, 1795, 1373, 1501, 1429, 1238, 1428, 1108, 1093, 984, 1262, 795, 880, 310, 640, 273, 1566, 1878, 1386, 603, 835, 237, 426, 1961, 320, 855, 1693, 69, 1881, 1127, 322, 1162, 739, 1636, 1785, 1490, 998, 723, 698, 1604, 373, 228, 613, 578, 1213, 1012, 1257, 226, 254, 1704, 994, 1506, 255, 64, 1796, 974, 180, 1628]

2026-03-05 00:33:44,833 - INFO - 当前用时 0.00 秒
2026-03-05 00:33:44,833 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-2/seeds-with-synthetic_sw_2000/random_random_seedNum-100_SSRNum-50000.txt
2026-03-05 00:33:44,833 - INFO - 首次生成种子集 degreeTopM
2026-03-05 00:33:44,833 - INFO - 执行当前算法开始: degreeTopM
2026-03-05 00:33:44,833 - INFO - 依据: 选择连接数（度数）最多的节点。
2026-03-05 00:33:44,833 - INFO - 选择的 Top M 节点及其度数:
2026-03-05 00:33:44,833 - INFO - 
2026-03-05 00:33:44,833 - INFO - 当前用时 0.00 秒
2026-03-05 00:33:44,834 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-2/seeds-with-synthetic_sw_2000/random_degreeTopM_seedNum-100_SSRNum-50000.txt
2026-03-05 00:33:44,834 - INFO - 首次生成种子集 pageRank
2026-03-05 00:33:44,834 - INFO - 执行当前算法开始: pageRank
2026-03-05 00:33:44,834 - INFO - --- Running: PageRank (on tranProMatrix) Top M ---
2026-03-05 00:33:44,967 - INFO - Selected PageRank seeds: [44, 1001, 48, 1006, 1123, 633, 1052, 521, 1224, 239, 628, 908, 64, 218, 41, 1013, 530, 608, 1365, 322, 625, 1218, 1468, 323, 1279, 792, 21, 255, 1377, 1406, 623, 1367, 899, 861, 258, 634, 825, 409, 913, 192, 402, 235, 584, 1116, 1048, 631, 1454, 693, 1446, 622, 730, 1445, 196, 1227, 357, 195, 1172, 1400, 208, 763, 43, 1309, 229, 202, 1411, 65, 1130, 19, 121, 1362, 896, 1395, 1002, 1258, 382, 1008, 190, 1339, 517, 527, 1363, 942, 1253, 1159, 982, 252, 945, 250, 627, 514, 528, 300, 522, 273, 158, 865, 497, 576, 990, 353]
2026-03-05 00:33:44,967 - INFO - 当前用时 0.13 秒
2026-03-05 00:33:44,967 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-2/seeds-with-synthetic_sw_2000/random_pageRank_seedNum-100_SSRNum-50000.txt
2026-03-05 00:33:44,967 - INFO - 首次生成种子集 alpha_sort
2026-03-05 00:33:44,967 - INFO - 执行当前算法开始: alpha_sort
2026-03-05 00:33:44,968 - INFO - 2000 个节点的alpha值降序排序 done
2026-03-05 00:33:44,968 - INFO - ==============>> [(1600, np.float64(0.4)), (1601, np.float64(0.4)), (1602, np.float64(0.4)), (1603, np.float64(0.4)), (1604, np.float64(0.4)), (1605, np.float64(0.4)), (1606, np.float64(0.4)), (1607, np.float64(0.4)), (1608, np.float64(0.4)), (1609, np.float64(0.4))]
2026-03-05 00:33:44,968 - INFO - 
选择的种子集 (按alpha排序): [1600, 1601, 1602, 1603, 1604, 1605, 1606, 1607, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1619, 1620, 1621, 1622, 1623, 1624, 1625, 1626, 1627, 1628, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 1641, 1642, 1643, 1644, 1645, 1646, 1647, 1648, 1649, 1650, 1651, 1652, 1653, 1654, 1655, 1656, 1657, 1658, 1659, 1660, 1661, 1662, 1663, 1664, 1665, 1666, 1667, 1668, 1669, 1670, 1671, 1672, 1673, 1674, 1675, 1676, 1677, 1678, 1679, 1680, 1681, 1682, 1683, 1684, 1685, 1686, 1687, 1688, 1689, 1690, 1691, 1692, 1693, 1694, 1695, 1696, 1697, 1698, 1699]

2026-03-05 00:33:44,968 - INFO - 当前用时 0.00 秒
2026-03-05 00:33:44,968 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-2/seeds-with-synthetic_sw_2000/random_alpha_sort_seedNum-100_SSRNum-50000.txt
2026-03-05 00:33:44,968 - INFO - 首次生成种子集 ris_optimized
2026-03-05 00:33:44,968 - INFO - 执行当前算法开始: ris_optimized
2026-03-05 00:33:45,012 - INFO - 图初始化完成，节点数: 2000，当前模式: 优化采样
2026-03-05 00:33:45,013 - INFO - 开始生成 50000 组多重RR-Set...
2026-03-05 00:33:55,257 - INFO - 生成完毕。耗时: 10.24 秒。
2026-03-05 00:33:55,266 - INFO - 开始基于多重RR集贪心选择最优种子...
2026-03-05 00:33:59,681 - INFO - 选种完毕。耗时: 4.41 秒。估算范围: 90.70
2026-03-05 00:34:00,380 - INFO - 当前用时 15.41 秒
2026-03-05 00:34:00,381 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-2/seeds-with-synthetic_sw_2000/random_ris_optimized_seedNum-100_SSRNum-50000.txt
2026-03-05 00:34:00,381 - INFO - 首次生成种子集 ris_naive
2026-03-05 00:34:00,381 - INFO - 执行当前算法开始: ris_naive
2026-03-05 00:34:00,424 - INFO - 图初始化完成，节点数: 2000，当前模式: 朴素采样
2026-03-05 00:34:00,424 - INFO - 开始生成 50000 组多重RR-Set...
2026-03-05 00:34:10,825 - INFO - 生成完毕。耗时: 10.40 秒。
2026-03-05 00:34:10,836 - INFO - 开始基于多重RR集贪心选择最优种子...
2026-03-05 00:34:12,738 - INFO - 选种完毕。耗时: 1.90 秒。估算范围: 92.20
2026-03-05 00:34:13,144 - INFO - 当前用时 12.76 秒
2026-03-05 00:34:13,145 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-2/seeds-with-synthetic_sw_2000/random_ris_naive_seedNum-100_SSRNum-50000.txt
2026-03-05 00:34:13,145 - INFO - 首次生成种子集 monterCarlo_CELF
2026-03-05 00:34:13,145 - INFO - 执行当前算法开始: monterCarlo_CELF
2026-03-05 00:34:13,145 - INFO - --- Running: CELF Greedy Monte Carlo (Sims=100) ---
2026-03-05 00:34:13,145 - INFO - Step 0: 初始化所有节点的边际增益...
2026-03-05 00:34:47,672 - INFO - Seed 1: 365, Spread: 0.94
2026-03-05 00:35:01,653 - INFO - Seed 2: 8, Gain: 0.86, Total: 1.80
2026-03-05 00:35:11,365 - INFO - Seed 3: 45, Gain: 0.87, Total: 2.67
2026-03-05 00:35:38,277 - INFO - Seed 4: 613, Gain: 0.84, Total: 3.51
2026-03-05 00:35:39,564 - INFO - Seed 5: 73, Gain: 0.83, Total: 4.34
2026-03-05 00:35:44,459 - INFO - Seed 6: 467, Gain: 0.87, Total: 5.21
2026-03-05 00:36:07,178 - INFO - Seed 7: 329, Gain: 0.86, Total: 6.07
2026-03-05 00:36:15,943 - INFO - Seed 8: 932, Gain: 0.91, Total: 6.98
2026-03-05 00:36:55,145 - INFO - Seed 9: 1449, Gain: 0.81, Total: 7.79
2026-03-05 00:37:18,485 - INFO - Seed 10: 1453, Gain: 0.83, Total: 8.62
2026-03-05 00:37:23,761 - INFO - Seed 11: 1284, Gain: 0.80, Total: 9.42
2026-03-05 00:37:24,996 - INFO - Seed 12: 398, Gain: 0.82, Total: 10.24
2026-03-05 00:37:26,032 - INFO - Seed 13: 446, Gain: 0.95, Total: 11.19
2026-03-05 00:37:50,690 - INFO - Seed 14: 540, Gain: 0.82, Total: 12.01
2026-03-05 00:38:55,044 - INFO - Seed 15: 1554, Gain: 0.80, Total: 12.81
2026-03-05 00:39:04,898 - INFO - Seed 16: 1007, Gain: 0.89, Total: 13.70
2026-03-05 00:39:28,744 - INFO - Seed 17: 1240, Gain: 0.77, Total: 14.47
2026-03-05 00:39:32,878 - INFO - Seed 18: 110, Gain: 0.94, Total: 15.41
2026-03-05 00:40:53,817 - INFO - Seed 19: 1351, Gain: 0.79, Total: 16.20
2026-03-05 00:41:29,454 - INFO - Seed 20: 953, Gain: 0.69, Total: 16.89
2026-03-05 00:41:30,747 - INFO - Seed 21: 735, Gain: 0.71, Total: 17.60
2026-03-05 00:41:31,665 - INFO - Seed 22: 638, Gain: 0.83, Total: 18.43
2026-03-05 00:41:33,576 - INFO - Seed 23: 169, Gain: 0.76, Total: 19.19
2026-03-05 00:41:34,079 - INFO - Seed 24: 114, Gain: 0.71, Total: 19.90
2026-03-05 00:41:35,119 - INFO - Seed 25: 1407, Gain: 1.15, Total: 21.05
2026-03-05 00:41:39,433 - INFO - Seed 26: 326, Gain: 0.76, Total: 21.81
2026-03-05 00:41:42,237 - INFO - Seed 27: 1195, Gain: 0.82, Total: 22.63
2026-03-05 00:41:43,373 - INFO - Seed 28: 966, Gain: 0.78, Total: 23.41
2026-03-05 00:41:51,186 - INFO - Seed 29: 1273, Gain: 0.69, Total: 24.10
2026-03-05 00:41:51,812 - INFO - Seed 30: 699, Gain: 0.73, Total: 24.83
2026-03-05 00:41:52,469 - INFO - Seed 31: 324, Gain: 0.77, Total: 25.60
2026-03-05 00:41:53,793 - INFO - Seed 32: 1158, Gain: 1.24, Total: 26.84
2026-03-05 00:42:03,332 - INFO - Seed 33: 1216, Gain: 0.80, Total: 27.64
2026-03-05 00:42:04,720 - INFO - Seed 34: 791, Gain: 0.86, Total: 28.50
2026-03-05 00:42:10,590 - INFO - Seed 35: 1109, Gain: 0.85, Total: 29.35
2026-03-05 00:42:20,948 - INFO - Seed 36: 924, Gain: 0.77, Total: 30.12
2026-03-05 00:42:31,757 - INFO - Seed 37: 46, Gain: 0.68, Total: 30.80
2026-03-05 00:42:32,543 - INFO - Seed 38: 34, Gain: 1.03, Total: 31.83
2026-03-05 00:42:33,337 - INFO - Seed 39: 1454, Gain: 0.69, Total: 32.52
2026-03-05 00:42:35,812 - INFO - Seed 40: 1306, Gain: 0.72, Total: 33.24
2026-03-05 00:42:36,646 - INFO - Seed 41: 1473, Gain: 0.69, Total: 33.93
2026-03-05 00:42:38,400 - INFO - Seed 42: 1072, Gain: 0.91, Total: 34.84
2026-03-05 00:42:41,111 - INFO - Seed 43: 867, Gain: 0.78, Total: 35.62
2026-03-05 00:42:43,813 - INFO - Seed 44: 0, Gain: 0.77, Total: 36.39
2026-03-05 00:42:45,651 - INFO - Seed 45: 1531, Gain: 1.05, Total: 37.44
2026-03-05 00:42:50,438 - INFO - Seed 46: 727, Gain: 1.10, Total: 38.54
2026-03-05 00:43:33,048 - INFO - Seed 47: 680, Gain: 0.69, Total: 39.23
2026-03-05 00:43:41,898 - INFO - Seed 48: 247, Gain: 0.81, Total: 40.04
2026-03-05 00:43:56,007 - INFO - Seed 49: 631, Gain: 0.68, Total: 40.72
2026-03-05 00:43:59,114 - INFO - Seed 50: 1370, Gain: 0.75, Total: 41.47
2026-03-05 00:44:01,232 - INFO - Seed 51: 1009, Gain: 0.67, Total: 42.14
2026-03-05 00:44:03,336 - INFO - Seed 52: 547, Gain: 0.97, Total: 43.11
2026-03-05 00:44:05,523 - INFO - Seed 53: 1585, Gain: 0.73, Total: 43.84
2026-03-05 00:44:07,747 - INFO - Seed 54: 1262, Gain: 0.80, Total: 44.64
2026-03-05 00:44:12,282 - INFO - Seed 55: 1324, Gain: 1.11, Total: 45.75
2026-03-05 00:44:29,436 - INFO - Seed 56: 59, Gain: 0.67, Total: 46.42
2026-03-05 00:44:34,119 - INFO - Seed 57: 669, Gain: 0.73, Total: 47.15
2026-03-05 00:44:37,607 - INFO - Seed 58: 839, Gain: 0.95, Total: 48.10
2026-03-05 00:44:47,255 - INFO - Seed 59: 1020, Gain: 0.77, Total: 48.87
2026-03-05 00:44:48,476 - INFO - Seed 60: 790, Gain: 0.66, Total: 49.53
2026-03-05 00:44:52,234 - INFO - Seed 61: 94, Gain: 1.02, Total: 50.55
2026-03-05 00:45:03,588 - INFO - Seed 62: 492, Gain: 0.89, Total: 51.44
2026-03-05 00:45:04,849 - INFO - Seed 63: 452, Gain: 0.77, Total: 52.21
2026-03-05 00:45:12,724 - INFO - Seed 64: 1062, Gain: 0.71, Total: 52.92
2026-03-05 00:45:19,278 - INFO - Seed 65: 503, Gain: 0.95, Total: 53.87
2026-03-05 00:45:23,326 - INFO - Seed 66: 382, Gain: 0.80, Total: 54.67
2026-03-05 00:45:24,730 - INFO - Seed 67: 369, Gain: 0.76, Total: 55.43
2026-03-05 00:45:30,335 - INFO - Seed 68: 1426, Gain: 0.64, Total: 56.07
2026-03-05 00:45:35,994 - INFO - Seed 69: 1276, Gain: 0.98, Total: 57.05
2026-03-05 00:45:50,380 - INFO - Seed 70: 181, Gain: 0.66, Total: 57.71
2026-03-05 00:45:56,269 - INFO - Seed 71: 627, Gain: 0.81, Total: 58.52
2026-03-05 00:46:09,660 - INFO - Seed 72: 469, Gain: 0.76, Total: 59.28
2026-03-05 00:46:18,568 - INFO - Seed 73: 409, Gain: 0.64, Total: 59.92
2026-03-05 00:46:21,558 - INFO - Seed 74: 960, Gain: 1.06, Total: 60.98
2026-03-05 00:46:23,079 - INFO - Seed 75: 935, Gain: 0.66, Total: 61.64
2026-03-05 00:46:26,274 - INFO - Seed 76: 111, Gain: 0.85, Total: 62.49
2026-03-05 00:46:45,571 - INFO - Seed 77: 474, Gain: 0.77, Total: 63.26
2026-03-05 00:46:52,011 - INFO - Seed 78: 108, Gain: 0.75, Total: 64.01
2026-03-05 00:46:55,248 - INFO - Seed 79: 780, Gain: 0.71, Total: 64.72
2026-03-05 00:46:56,869 - INFO - Seed 80: 138, Gain: 0.72, Total: 65.44
2026-03-05 00:46:58,546 - INFO - Seed 81: 341, Gain: 0.69, Total: 66.13
2026-03-05 00:47:00,217 - INFO - Seed 82: 421, Gain: 1.01, Total: 67.14
2026-03-05 00:47:01,908 - INFO - Seed 83: 1205, Gain: 0.71, Total: 67.85
2026-03-05 00:47:07,116 - INFO - Seed 84: 1471, Gain: 0.73, Total: 68.58
