2026-03-05 03:50:34,349 - INFO - 加载数据集: synthetic_sw_2000
2026-03-05 03:50:34,349 - INFO - --- 矩阵分析 ---
2026-03-05 03:50:34,349 - INFO - 节点数 (N): 2000
2026-03-05 03:50:34,350 - INFO - 边数 (E): 31400
2026-03-05 03:50:34,350 - INFO - 密度 (Density): 0.00785000 (越小越稀疏)
2026-03-05 03:50:34,350 - INFO - 稀疏度 (Sparsity): 0.99215000 (越接近1越稀疏)
2026-03-05 03:50:34,350 - INFO - 平均度数 (Avg Degree): 15.70
2026-03-05 03:50:34,350 - INFO - >>> 正在为终极对抗图注入概率属性...
2026-03-05 03:50:34,365 - INFO - 首次生成种子集 random
2026-03-05 03:50:34,365 - INFO - 执行当前算法开始: random
2026-03-05 03:50:34,365 - INFO - 数据集节点总数:  n = 2000, m = 100
2026-03-05 03:50:34,365 - INFO - 选择 100  [463, 1372, 432, 552, 684, 306, 227, 728, 897, 209, 1817, 140, 810, 1448, 1169, 868, 1965, 1947, 1247, 664, 1022, 804, 1677, 867, 1073, 805, 1040, 1447, 701, 2, 651, 1869, 1453, 1743, 1154, 1638, 1731, 1319, 1141, 6, 561, 120, 1574, 343, 484, 299, 1143, 33, 1739, 616, 1095, 854, 145, 1674, 1852, 480, 935, 178, 1071, 1840, 527, 1476, 782, 543, 1122, 1768, 747, 1989, 1509, 789, 259, 1767, 1871, 667, 263, 1610, 1991, 531, 890, 1232, 665, 1962, 945, 584, 255, 1550, 338, 1334, 811, 607, 1654, 674, 1208, 1096, 1421, 602, 443, 1883, 1426, 1971]

2026-03-05 03:50:34,365 - INFO - 当前用时 0.00 秒
2026-03-05 03:50:34,366 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-4/seeds-with-synthetic_sw_2000/random_random_seedNum-100_SSRNum-50000.txt
2026-03-05 03:50:34,366 - INFO - 首次生成种子集 degreeTopM
2026-03-05 03:50:34,366 - INFO - 执行当前算法开始: degreeTopM
2026-03-05 03:50:34,366 - INFO - 依据: 选择连接数（度数）最多的节点。
2026-03-05 03:50:34,366 - INFO - 选择的 Top M 节点及其度数:
2026-03-05 03:50:34,366 - INFO - 
2026-03-05 03:50:34,366 - INFO - 当前用时 0.00 秒
2026-03-05 03:50:34,366 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-4/seeds-with-synthetic_sw_2000/random_degreeTopM_seedNum-100_SSRNum-50000.txt
2026-03-05 03:50:34,367 - INFO - 首次生成种子集 pageRank
2026-03-05 03:50:34,367 - INFO - 执行当前算法开始: pageRank
2026-03-05 03:50:34,367 - INFO - --- Running: PageRank (on tranProMatrix) Top M ---
2026-03-05 03:50:34,522 - INFO - Selected PageRank seeds: [1491, 1482, 1484, 1487, 1496, 1492, 1493, 1486, 1481, 1489, 1488, 1485, 1483, 1499, 1498, 1490, 1495, 1494, 1480, 1497, 1006, 1001, 1123, 1451, 48, 44, 337, 913, 1092, 322, 1013, 514, 634, 84, 121, 1431, 323, 196, 218, 1358, 853, 530, 1048, 66, 402, 190, 65, 752, 1116, 945, 849, 1395, 499, 56, 64, 1309, 457, 1373, 1260, 793, 626, 1074, 584, 1159, 982, 800, 623, 1165, 608, 53, 1095, 865, 436, 521, 1038, 1365, 896, 479, 1170, 1454, 1367, 1411, 528, 1466, 1385, 1277, 861, 447, 631, 1105, 786, 677, 91, 50, 879, 21, 627, 1406, 1448, 1362]
2026-03-05 03:50:34,522 - INFO - 当前用时 0.16 秒
2026-03-05 03:50:34,523 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-4/seeds-with-synthetic_sw_2000/random_pageRank_seedNum-100_SSRNum-50000.txt
2026-03-05 03:50:34,523 - INFO - 首次生成种子集 alpha_sort
2026-03-05 03:50:34,523 - INFO - 执行当前算法开始: alpha_sort
2026-03-05 03:50:34,523 - INFO - 2000 个节点的alpha值降序排序 done
2026-03-05 03:50:34,523 - INFO - ==============>> [(1400, np.float64(0.4)), (1401, np.float64(0.4)), (1402, np.float64(0.4)), (1403, np.float64(0.4)), (1404, np.float64(0.4)), (1405, np.float64(0.4)), (1406, np.float64(0.4)), (1407, np.float64(0.4)), (1408, np.float64(0.4)), (1409, np.float64(0.4))]
2026-03-05 03:50:34,523 - INFO - 
选择的种子集 (按alpha排序): [1400, 1401, 1402, 1403, 1404, 1405, 1406, 1407, 1408, 1409, 1410, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1432, 1433, 1434, 1435, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448, 1449, 1450, 1451, 1452, 1453, 1454, 1455, 1456, 1457, 1458, 1459, 1460, 1461, 1462, 1463, 1464, 1465, 1466, 1467, 1468, 1469, 1470, 1471, 1472, 1473, 1474, 1475, 1476, 1477, 1478, 1479, 1480, 1481, 1482, 1483, 1484, 1485, 1486, 1487, 1488, 1489, 1490, 1491, 1492, 1493, 1494, 1495, 1496, 1497, 1498, 1499]

2026-03-05 03:50:34,523 - INFO - 当前用时 0.00 秒
2026-03-05 03:50:34,523 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-4/seeds-with-synthetic_sw_2000/random_alpha_sort_seedNum-100_SSRNum-50000.txt
2026-03-05 03:50:34,523 - INFO - 首次生成种子集 ris_optimized
2026-03-05 03:50:34,524 - INFO - 执行当前算法开始: ris_optimized
2026-03-05 03:50:34,566 - INFO - 图初始化完成，节点数: 2000，当前模式: 优化采样
2026-03-05 03:50:34,567 - INFO - 开始生成 50000 组多重RR-Set...
2026-03-05 03:50:48,232 - INFO - 生成完毕。耗时: 13.67 秒。
2026-03-05 03:50:48,247 - INFO - 开始基于多重RR集贪心选择最优种子...
2026-03-05 03:50:51,751 - INFO - 选种完毕。耗时: 3.50 秒。估算范围: 80.87
2026-03-05 03:50:52,168 - INFO - 当前用时 17.64 秒
2026-03-05 03:50:52,168 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-4/seeds-with-synthetic_sw_2000/random_ris_optimized_seedNum-100_SSRNum-50000.txt
2026-03-05 03:50:52,169 - INFO - 首次生成种子集 ris_naive
2026-03-05 03:50:52,169 - INFO - 执行当前算法开始: ris_naive
2026-03-05 03:50:52,212 - INFO - 图初始化完成，节点数: 2000，当前模式: 朴素采样
2026-03-05 03:50:52,212 - INFO - 开始生成 50000 组多重RR-Set...
2026-03-05 03:51:05,401 - INFO - 生成完毕。耗时: 13.19 秒。
2026-03-05 03:51:05,415 - INFO - 开始基于多重RR集贪心选择最优种子...
2026-03-05 03:51:07,844 - INFO - 选种完毕。耗时: 2.43 秒。估算范围: 81.68
2026-03-05 03:51:08,370 - INFO - 当前用时 16.20 秒
2026-03-05 03:51:08,371 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5-report-4/seeds-with-synthetic_sw_2000/random_ris_naive_seedNum-100_SSRNum-50000.txt
2026-03-05 03:51:08,371 - INFO - 首次生成种子集 monterCarlo_CELF
2026-03-05 03:51:08,371 - INFO - 执行当前算法开始: monterCarlo_CELF
2026-03-05 03:51:08,371 - INFO - --- Running: CELF Greedy Monte Carlo (Sims=100) ---
2026-03-05 03:51:08,371 - INFO - Step 0: 初始化所有节点的边际增益...
2026-03-05 03:51:19,661 - INFO - Seed 1: 320, Spread: 0.68
2026-03-05 03:51:22,750 - INFO - Seed 2: 75, Gain: 0.59, Total: 1.27
2026-03-05 03:51:24,652 - INFO - Seed 3: 367, Gain: 0.61, Total: 1.88
2026-03-05 03:51:38,002 - INFO - Seed 4: 1064, Gain: 0.51, Total: 2.39
2026-03-05 03:51:38,468 - INFO - Seed 5: 115, Gain: 0.56, Total: 2.95
2026-03-05 03:51:46,105 - INFO - Seed 6: 1085, Gain: 0.50, Total: 3.45
2026-03-05 03:51:46,151 - INFO - Seed 7: 1105, Gain: 0.61, Total: 4.06
2026-03-05 03:52:18,270 - INFO - Seed 8: 1931, Gain: 0.41, Total: 4.47
2026-03-05 03:52:21,714 - INFO - Seed 9: 1188, Gain: 0.40, Total: 4.87
2026-03-05 03:52:21,976 - INFO - Seed 10: 1144, Gain: 0.46, Total: 5.33
2026-03-05 03:52:22,266 - INFO - Seed 11: 670, Gain: 0.41, Total: 5.74
2026-03-05 03:52:22,343 - INFO - Seed 12: 282, Gain: 0.45, Total: 6.19
2026-03-05 03:52:22,673 - INFO - Seed 13: 673, Gain: 0.50, Total: 6.69
2026-03-05 03:52:23,028 - INFO - Seed 14: 1111, Gain: 0.67, Total: 7.36
2026-03-05 03:52:23,207 - INFO - Seed 15: 1405, Gain: 0.44, Total: 7.80
2026-03-05 03:52:26,114 - INFO - Seed 16: 1732, Gain: 0.57, Total: 8.37
2026-03-05 03:52:43,821 - INFO - Seed 17: 787, Gain: 0.45, Total: 8.82
2026-03-05 03:52:54,824 - INFO - Seed 18: 237, Gain: 0.46, Total: 9.28
2026-03-05 03:53:08,063 - INFO - Seed 19: 13, Gain: 0.36, Total: 9.64
2026-03-05 03:53:08,843 - INFO - Seed 20: 707, Gain: 0.34, Total: 9.98
2026-03-05 03:53:09,328 - INFO - Seed 21: 713, Gain: 0.38, Total: 10.36
2026-03-05 03:53:09,706 - INFO - Seed 22: 720, Gain: 0.43, Total: 10.79
2026-03-05 03:53:09,841 - INFO - Seed 23: 561, Gain: 0.42, Total: 11.21
2026-03-05 03:53:09,974 - INFO - Seed 24: 171, Gain: 0.32, Total: 11.53
2026-03-05 03:53:10,387 - INFO - Seed 25: 1463, Gain: 0.83, Total: 12.36
2026-03-05 03:53:10,792 - INFO - Seed 26: 1766, Gain: 0.44, Total: 12.80
2026-03-05 03:53:14,077 - INFO - Seed 27: 330, Gain: 0.40, Total: 13.20
2026-03-05 03:53:14,967 - INFO - Seed 28: 1480, Gain: 0.32, Total: 13.52
2026-03-05 03:53:17,037 - INFO - Seed 29: 988, Gain: 0.30, Total: 13.82
2026-03-05 03:53:17,204 - INFO - Seed 30: 355, Gain: 0.48, Total: 14.30
2026-03-05 03:53:18,494 - INFO - Seed 31: 672, Gain: 0.95, Total: 15.25
2026-03-05 03:53:23,203 - INFO - Seed 32: 251, Gain: 0.30, Total: 15.55
2026-03-05 03:53:29,731 - INFO - Seed 33: 374, Gain: 0.41, Total: 15.96
2026-03-05 03:53:31,688 - INFO - Seed 34: 50, Gain: 0.36, Total: 16.32
2026-03-05 03:53:36,854 - INFO - Seed 35: 744, Gain: 0.40, Total: 16.72
2026-03-05 03:53:38,751 - INFO - Seed 36: 701, Gain: 0.33, Total: 17.05
2026-03-05 03:53:40,323 - INFO - Seed 37: 952, Gain: 0.34, Total: 17.39
2026-03-05 03:53:40,525 - INFO - Seed 38: 1197, Gain: 0.39, Total: 17.78
2026-03-05 03:53:41,158 - INFO - Seed 39: 1287, Gain: 0.62, Total: 18.40
2026-03-05 03:53:42,231 - INFO - Seed 40: 591, Gain: 0.41, Total: 18.81
2026-03-05 03:53:43,778 - INFO - Seed 41: 191, Gain: 0.33, Total: 19.14
2026-03-05 03:53:45,601 - INFO - Seed 42: 429, Gain: 0.58, Total: 19.72
2026-03-05 03:53:46,760 - INFO - Seed 43: 225, Gain: 0.30, Total: 20.02
2026-03-05 03:53:47,959 - INFO - Seed 44: 83, Gain: 0.63, Total: 20.65
2026-03-05 03:53:51,125 - INFO - Seed 45: 372, Gain: 0.29, Total: 20.94
2026-03-05 03:53:52,861 - INFO - Seed 46: 1308, Gain: 0.43, Total: 21.37
2026-03-05 03:53:55,670 - INFO - Seed 47: 1063, Gain: 0.41, Total: 21.78
2026-03-05 03:53:56,713 - INFO - Seed 48: 641, Gain: 0.29, Total: 22.07
2026-03-05 03:54:02,115 - INFO - Seed 49: 185, Gain: 0.35, Total: 22.42
2026-03-05 03:54:02,386 - INFO - Seed 50: 1349, Gain: 0.32, Total: 22.74
2026-03-05 03:54:02,938 - INFO - Seed 51: 774, Gain: 0.52, Total: 23.26
2026-03-05 03:54:04,106 - INFO - Seed 52: 886, Gain: 0.30, Total: 23.56
2026-03-05 03:54:04,414 - INFO - Seed 53: 854, Gain: 0.53, Total: 24.09
2026-03-05 03:54:05,612 - INFO - Seed 54: 915, Gain: 0.31, Total: 24.40
2026-03-05 03:54:05,918 - INFO - Seed 55: 1369, Gain: 0.54, Total: 24.94
2026-03-05 03:54:08,665 - INFO - Seed 56: 461, Gain: 0.27, Total: 25.21
2026-03-05 03:54:09,316 - INFO - Seed 57: 640, Gain: 0.33, Total: 25.54
2026-03-05 03:54:10,916 - INFO - Seed 58: 29, Gain: 0.54, Total: 26.08
2026-03-05 03:54:11,243 - INFO - Seed 59: 722, Gain: 0.31, Total: 26.39
2026-03-05 03:54:12,574 - INFO - Seed 60: 733, Gain: 0.39, Total: 26.78
2026-03-05 03:54:13,926 - INFO - Seed 61: 1041, Gain: 0.48, Total: 27.26
2026-03-05 03:54:19,800 - INFO - Seed 62: 463, Gain: 0.25, Total: 27.51
2026-03-05 03:54:21,208 - INFO - Seed 63: 874, Gain: 0.51, Total: 28.02
2026-03-05 03:54:21,916 - INFO - Seed 64: 1996, Gain: 0.45, Total: 28.47
2026-03-05 03:54:24,485 - INFO - Seed 65: 174, Gain: 0.28, Total: 28.75
2026-03-05 03:54:24,871 - INFO - Seed 66: 928, Gain: 0.49, Total: 29.24
2026-03-05 03:54:25,632 - INFO - Seed 67: 1695, Gain: 0.34, Total: 29.58
2026-03-05 03:54:27,128 - INFO - Seed 68: 1416, Gain: 0.38, Total: 29.96
2026-03-05 03:54:33,143 - INFO - Seed 69: 63, Gain: 0.33, Total: 30.29
2026-03-05 03:54:36,612 - INFO - Seed 70: 1971, Gain: 0.37, Total: 30.66
2026-03-05 03:54:38,182 - INFO - Seed 71: 387, Gain: 0.27, Total: 30.93
2026-03-05 03:54:38,961 - INFO - Seed 72: 1382, Gain: 0.56, Total: 31.49
2026-03-05 03:54:40,612 - INFO - Seed 73: 550, Gain: 0.76, Total: 32.25
2026-03-05 03:54:59,823 - INFO - Seed 74: 808, Gain: 0.20, Total: 32.45
2026-03-05 03:55:09,787 - INFO - Seed 75: 569, Gain: 0.32, Total: 32.77
2026-03-05 03:55:19,820 - INFO - Seed 76: 583, Gain: 0.49, Total: 33.26
2026-03-05 03:55:30,402 - INFO - Seed 77: 52, Gain: 0.26, Total: 33.52
2026-03-05 03:55:39,472 - INFO - Seed 78: 85, Gain: 0.28, Total: 33.80
2026-03-05 03:55:40,350 - INFO - Seed 79: 1505, Gain: 0.47, Total: 34.27
2026-03-05 03:55:42,559 - INFO - Seed 80: 1193, Gain: 0.20, Total: 34.47
2026-03-05 03:55:44,341 - INFO - Seed 81: 1715, Gain: 0.24, Total: 34.71
2026-03-05 03:55:45,248 - INFO - Seed 82: 893, Gain: 0.28, Total: 34.99
2026-03-05 03:55:46,196 - INFO - Seed 83: 1142, Gain: 0.53, Total: 35.52
