2026-03-04 23:23:10,904 - INFO - 加载数据集: synthetic_sw_2000
2026-03-04 23:23:10,905 - INFO - --- 矩阵分析 ---
2026-03-04 23:23:10,905 - INFO - 节点数 (N): 2000
2026-03-04 23:23:10,905 - INFO - 边数 (E): 31400
2026-03-04 23:23:10,905 - INFO - 密度 (Density): 0.00785000 (越小越稀疏)
2026-03-04 23:23:10,905 - INFO - 稀疏度 (Sparsity): 0.99215000 (越接近1越稀疏)
2026-03-04 23:23:10,905 - INFO - 平均度数 (Avg Degree): 15.70
2026-03-04 23:23:10,905 - INFO - >>> 正在为合成图注入【单券路由存活率】对抗性概率分布...
2026-03-04 23:23:10,922 - INFO - 首次生成种子集 random
2026-03-04 23:23:10,922 - INFO - 执行当前算法开始: random
2026-03-04 23:23:10,922 - INFO - 数据集节点总数:  n = 2000, m = 100
2026-03-04 23:23:10,922 - INFO - 选择 100  [1898, 356, 1754, 841, 204, 1257, 1017, 1411, 1313, 1618, 407, 1842, 1100, 919, 684, 707, 1858, 23, 1871, 541, 928, 1535, 1919, 1267, 1164, 1343, 318, 1569, 469, 282, 515, 472, 837, 757, 182, 690, 1984, 950, 77, 128, 1302, 1786, 959, 1892, 1295, 1256, 1380, 1644, 39, 533, 1083, 1199, 1811, 1185, 316, 1193, 61, 636, 1889, 839, 975, 540, 1557, 1964, 1022, 599, 1885, 730, 293, 357, 1816, 1864, 920, 774, 120, 536, 863, 358, 141, 743, 906, 784, 214, 43, 228, 1098, 870, 1124, 1165, 1462, 1392, 213, 1568, 581, 56, 1685, 24, 66, 298, 312]

2026-03-04 23:23:10,922 - INFO - 当前用时 0.00 秒
2026-03-04 23:23:10,922 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5/seeds-with-synthetic_sw_2000/random_random_seedNum-100_SSRNum-10000.txt
2026-03-04 23:23:10,922 - INFO - 首次生成种子集 degreeTopM
2026-03-04 23:23:10,922 - INFO - 执行当前算法开始: degreeTopM
2026-03-04 23:23:10,922 - INFO - 依据: 选择连接数（度数）最多的节点。
2026-03-04 23:23:10,923 - INFO - 选择的 Top M 节点及其度数:
2026-03-04 23:23:10,923 - INFO - 
2026-03-04 23:23:10,923 - INFO - 当前用时 0.00 秒
2026-03-04 23:23:10,923 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5/seeds-with-synthetic_sw_2000/random_degreeTopM_seedNum-100_SSRNum-10000.txt
2026-03-04 23:23:10,923 - INFO - 首次生成种子集 pageRank
2026-03-04 23:23:10,923 - INFO - 执行当前算法开始: pageRank
2026-03-04 23:23:10,923 - INFO - --- Running: PageRank (on tranProMatrix) Top M ---
2026-03-04 23:23:11,086 - INFO - Selected PageRank seeds: [1491, 1482, 1484, 1487, 1496, 1492, 1493, 1486, 1481, 1489, 1488, 1485, 1483, 1499, 1498, 1490, 1495, 1494, 1480, 1497, 1006, 1001, 1123, 1451, 48, 44, 337, 913, 1092, 322, 1013, 514, 634, 84, 121, 1431, 323, 196, 218, 1358, 853, 530, 1048, 66, 402, 190, 65, 752, 1116, 945, 849, 1395, 499, 56, 64, 1309, 457, 1373, 1260, 793, 626, 1074, 584, 1159, 982, 800, 623, 1165, 608, 53, 1095, 865, 436, 521, 1038, 1365, 896, 479, 1170, 1454, 1367, 1411, 528, 1466, 1385, 1277, 861, 447, 631, 1105, 786, 677, 91, 50, 879, 21, 627, 1406, 1448, 1362]
2026-03-04 23:23:11,086 - INFO - 当前用时 0.16 秒
2026-03-04 23:23:11,086 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5/seeds-with-synthetic_sw_2000/random_pageRank_seedNum-100_SSRNum-10000.txt
2026-03-04 23:23:11,086 - INFO - 首次生成种子集 alpha_sort
2026-03-04 23:23:11,087 - INFO - 执行当前算法开始: alpha_sort
2026-03-04 23:23:11,087 - INFO - 2000 个节点的alpha值降序排序 done
2026-03-04 23:23:11,087 - INFO - ==============>> [(1600, np.float64(0.4)), (1601, np.float64(0.4)), (1602, np.float64(0.4)), (1603, np.float64(0.4)), (1604, np.float64(0.4)), (1605, np.float64(0.4)), (1606, np.float64(0.4)), (1607, np.float64(0.4)), (1608, np.float64(0.4)), (1609, np.float64(0.4))]
2026-03-04 23:23:11,087 - INFO - 
选择的种子集 (按alpha排序): [1600, 1601, 1602, 1603, 1604, 1605, 1606, 1607, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1619, 1620, 1621, 1622, 1623, 1624, 1625, 1626, 1627, 1628, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 1641, 1642, 1643, 1644, 1645, 1646, 1647, 1648, 1649, 1650, 1651, 1652, 1653, 1654, 1655, 1656, 1657, 1658, 1659, 1660, 1661, 1662, 1663, 1664, 1665, 1666, 1667, 1668, 1669, 1670, 1671, 1672, 1673, 1674, 1675, 1676, 1677, 1678, 1679, 1680, 1681, 1682, 1683, 1684, 1685, 1686, 1687, 1688, 1689, 1690, 1691, 1692, 1693, 1694, 1695, 1696, 1697, 1698, 1699]

2026-03-04 23:23:11,087 - INFO - 当前用时 0.00 秒
2026-03-04 23:23:11,087 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5/seeds-with-synthetic_sw_2000/random_alpha_sort_seedNum-100_SSRNum-10000.txt
2026-03-04 23:23:11,087 - INFO - 首次生成种子集 ris_optimized
2026-03-04 23:23:11,087 - INFO - 执行当前算法开始: ris_optimized
2026-03-04 23:23:11,131 - INFO - 图初始化完成，节点数: 2000，当前模式: 优化采样
2026-03-04 23:23:11,131 - INFO - 开始生成 10000 组多重RR-Set...
2026-03-04 23:23:13,225 - INFO - 生成完毕。耗时: 2.09 秒。
2026-03-04 23:23:13,227 - INFO - 开始基于多重RR集贪心选择最优种子...
2026-03-04 23:23:13,701 - INFO - 选种完毕。耗时: 0.47 秒。估算范围: 131.54
2026-03-04 23:23:13,774 - INFO - 当前用时 2.69 秒
2026-03-04 23:23:13,775 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5/seeds-with-synthetic_sw_2000/random_ris_optimized_seedNum-100_SSRNum-10000.txt
2026-03-04 23:23:13,775 - INFO - 首次生成种子集 ris_naive
2026-03-04 23:23:13,775 - INFO - 执行当前算法开始: ris_naive
2026-03-04 23:23:13,817 - INFO - 图初始化完成，节点数: 2000，当前模式: 朴素采样
2026-03-04 23:23:13,818 - INFO - 开始生成 10000 组多重RR-Set...
2026-03-04 23:23:15,638 - INFO - 生成完毕。耗时: 1.82 秒。
2026-03-04 23:23:15,640 - INFO - 开始基于多重RR集贪心选择最优种子...
2026-03-04 23:23:16,416 - INFO - 选种完毕。耗时: 0.78 秒。估算范围: 131.20
2026-03-04 23:23:16,488 - INFO - 当前用时 2.71 秒
2026-03-04 23:23:16,488 - INFO - 将种子集 写入位置: /home/wen/work/coup_spread/synthetic_sw_2000/2026-3-5/seeds-with-synthetic_sw_2000/random_ris_naive_seedNum-100_SSRNum-10000.txt
2026-03-04 23:23:16,489 - INFO - 首次生成种子集 monterCarlo_CELF
2026-03-04 23:23:16,489 - INFO - 执行当前算法开始: monterCarlo_CELF
2026-03-04 23:23:16,489 - INFO - --- Running: CELF Greedy Monte Carlo (Sims=100) ---
2026-03-04 23:23:16,489 - INFO - Step 0: 初始化所有节点的边际增益...
2026-03-04 23:23:28,724 - INFO - Seed 1: 1764, Spread: 0.57
2026-03-04 23:23:29,052 - INFO - Seed 2: 1930, Gain: 0.39, Total: 0.96
2026-03-04 23:23:29,114 - INFO - Seed 3: 1757, Gain: 0.40, Total: 1.36
2026-03-04 23:23:29,131 - INFO - Seed 4: 1932, Gain: 0.43, Total: 1.79
2026-03-04 23:23:29,233 - INFO - Seed 5: 1726, Gain: 0.41, Total: 2.20
2026-03-04 23:23:29,267 - INFO - Seed 6: 1887, Gain: 0.38, Total: 2.58
2026-03-04 23:23:29,377 - INFO - Seed 7: 1637, Gain: 0.39, Total: 2.97
2026-03-04 23:23:29,381 - INFO - Seed 8: 1652, Gain: 0.45, Total: 3.42
2026-03-04 23:23:29,395 - INFO - Seed 9: 1763, Gain: 0.50, Total: 3.92
2026-03-04 23:23:29,412 - INFO - Seed 10: 1875, Gain: 0.40, Total: 4.32
2026-03-04 23:23:29,720 - INFO - Seed 11: 1956, Gain: 0.36, Total: 4.68
2026-03-04 23:23:30,086 - INFO - Seed 12: 1982, Gain: 0.52, Total: 5.20
2026-03-04 23:23:30,417 - INFO - Seed 13: 1897, Gain: 0.42, Total: 5.62
2026-03-04 23:23:30,421 - INFO - Seed 14: 1948, Gain: 0.35, Total: 5.97
2026-03-04 23:23:30,435 - INFO - Seed 15: 354, Gain: 0.47, Total: 6.44
2026-03-04 23:23:31,514 - INFO - Seed 16: 1365, Gain: 0.34, Total: 6.78
2026-03-04 23:23:31,831 - INFO - Seed 17: 1815, Gain: 0.35, Total: 7.13
2026-03-04 23:23:31,880 - INFO - Seed 18: 1844, Gain: 0.47, Total: 7.60
2026-03-04 23:23:36,474 - INFO - Seed 19: 1118, Gain: 0.30, Total: 7.90
2026-03-04 23:23:51,288 - INFO - Seed 20: 1681, Gain: 0.36, Total: 8.26
2026-03-04 23:23:55,667 - INFO - Seed 21: 1439, Gain: 0.25, Total: 8.51
2026-03-04 23:24:02,901 - INFO - Seed 22: 819, Gain: 0.33, Total: 8.84
2026-03-04 23:24:14,974 - INFO - Seed 23: 45, Gain: 0.34, Total: 9.18
2026-03-04 23:24:26,759 - INFO - Seed 24: 1616, Gain: 0.32, Total: 9.50
2026-03-04 23:24:26,923 - INFO - Seed 25: 1971, Gain: 0.35, Total: 9.85
2026-03-04 23:24:26,964 - INFO - Seed 26: 1929, Gain: 0.18, Total: 10.03
2026-03-04 23:24:27,005 - INFO - Seed 27: 1907, Gain: 0.29, Total: 10.32
2026-03-04 23:24:27,046 - INFO - Seed 28: 1755, Gain: 0.34, Total: 10.66
2026-03-04 23:24:27,721 - INFO - Seed 29: 1166, Gain: 0.25, Total: 10.91
2026-03-04 23:24:27,880 - INFO - Seed 30: 1427, Gain: 0.23, Total: 11.14
2026-03-04 23:24:28,053 - INFO - Seed 31: 1699, Gain: 0.70, Total: 11.84
2026-03-04 23:24:28,351 - INFO - Seed 32: 465, Gain: 0.23, Total: 12.07
2026-03-04 23:24:28,426 - INFO - Seed 33: 350, Gain: 0.22, Total: 12.29
2026-03-04 23:24:28,698 - INFO - Seed 34: 1621, Gain: 0.35, Total: 12.64
2026-03-04 23:24:29,069 - INFO - Seed 35: 1822, Gain: 0.57, Total: 13.21
2026-03-04 23:24:29,429 - INFO - Seed 36: 1230, Gain: 0.23, Total: 13.44
2026-03-04 23:24:29,745 - INFO - Seed 37: 1843, Gain: 0.30, Total: 13.74
2026-03-04 23:24:29,821 - INFO - Seed 38: 1747, Gain: 0.46, Total: 14.20
2026-03-04 23:24:30,059 - INFO - Seed 39: 560, Gain: 0.73, Total: 14.93
2026-03-04 23:24:33,657 - INFO - Seed 40: 1946, Gain: 0.14, Total: 15.07
2026-03-04 23:24:34,165 - INFO - Seed 41: 1397, Gain: 0.23, Total: 15.30
2026-03-04 23:24:34,726 - INFO - Seed 42: 1795, Gain: 0.63, Total: 15.93
2026-03-04 23:24:36,463 - INFO - Seed 43: 1928, Gain: 0.14, Total: 16.07
2026-03-04 23:24:36,838 - INFO - Seed 44: 1635, Gain: 0.17, Total: 16.24
2026-03-04 23:24:37,024 - INFO - Seed 45: 1972, Gain: 0.30, Total: 16.54
2026-03-04 23:24:37,221 - INFO - Seed 46: 1845, Gain: 0.48, Total: 17.02
2026-03-04 23:24:37,312 - INFO - Seed 47: 1957, Gain: 0.15, Total: 17.17
2026-03-04 23:24:37,405 - INFO - Seed 48: 1176, Gain: 0.39, Total: 17.56
2026-03-04 23:24:37,499 - INFO - Seed 49: 1688, Gain: 0.45, Total: 18.01
2026-03-04 23:24:37,691 - INFO - Seed 50: 1986, Gain: 0.29, Total: 18.30
2026-03-04 23:24:37,884 - INFO - Seed 51: 683, Gain: 0.36, Total: 18.66
2026-03-04 23:24:38,089 - INFO - Seed 52: 1999, Gain: 0.44, Total: 19.10
2026-03-04 23:24:38,188 - INFO - Seed 53: 1800, Gain: 0.26, Total: 19.36
2026-03-04 23:24:38,299 - INFO - Seed 54: 177, Gain: 1.17, Total: 20.53
2026-03-04 23:24:42,635 - INFO - Seed 55: 1710, Gain: 0.15, Total: 20.68
2026-03-04 23:24:42,952 - INFO - Seed 56: 1631, Gain: 0.53, Total: 21.21
2026-03-04 23:24:46,150 - INFO - Seed 57: 637, Gain: 0.06, Total: 21.27
2026-03-04 23:24:46,494 - INFO - Seed 58: 1640, Gain: 0.61, Total: 21.88
2026-03-04 23:24:48,165 - INFO - Seed 59: 1667, Gain: 0.13, Total: 22.01
2026-03-04 23:24:48,761 - INFO - Seed 60: 328, Gain: 0.20, Total: 22.21
2026-03-04 23:24:49,359 - INFO - Seed 61: 1791, Gain: 0.40, Total: 22.61
2026-03-04 23:24:49,486 - INFO - Seed 62: 1963, Gain: 0.25, Total: 22.86
2026-03-04 23:24:49,619 - INFO - Seed 63: 501, Gain: 0.47, Total: 23.33
2026-03-04 23:24:50,779 - INFO - Seed 64: 1604, Gain: 0.04, Total: 23.37
2026-03-04 23:24:50,910 - INFO - Seed 65: 1869, Gain: 0.35, Total: 23.72
2026-03-04 23:24:51,435 - INFO - Seed 66: 1798, Gain: 0.61, Total: 24.33
2026-03-04 23:24:51,707 - INFO - Seed 67: 167, Gain: 0.14, Total: 24.47
2026-03-04 23:24:51,843 - INFO - Seed 68: 541, Gain: 0.46, Total: 24.93
2026-03-04 23:24:52,843 - INFO - Seed 69: 454, Gain: 0.32, Total: 25.25
2026-03-04 23:24:52,985 - INFO - Seed 70: 1672, Gain: 0.20, Total: 25.45
2026-03-04 23:24:53,138 - INFO - Seed 71: 148, Gain: 0.04, Total: 25.49
2026-03-04 23:24:53,294 - INFO - Seed 72: 934, Gain: 0.73, Total: 26.22
2026-03-04 23:24:55,737 - INFO - Seed 73: 878, Gain: 0.24, Total: 26.46
2026-03-04 23:24:56,418 - INFO - Seed 74: 1898, Gain: 0.05, Total: 26.51
2026-03-04 23:24:56,581 - INFO - Seed 75: 1941, Gain: 1.22, Total: 27.73
2026-03-04 23:25:00,106 - INFO - Seed 76: 633, Gain: 0.00, Total: 27.73
2026-03-04 23:25:00,975 - INFO - Seed 77: 619, Gain: 0.19, Total: 27.92
2026-03-04 23:25:01,880 - INFO - Seed 78: 1851, Gain: 0.06, Total: 27.98
2026-03-04 23:25:02,059 - INFO - Seed 79: 1612, Gain: 0.41, Total: 28.39
2026-03-04 23:25:02,424 - INFO - Seed 80: 1951, Gain: 0.90, Total: 29.29
2026-03-04 23:25:05,079 - INFO - Seed 81: 1969, Gain: 0.04, Total: 29.33
2026-03-04 23:25:05,256 - INFO - Seed 82: 1128, Gain: 0.33, Total: 29.66
