method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,degree_exponent_tran,log_alpha_slope,log_beta_slope,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis
random,100,600,39.818333333333335,23.07866388888889,4.804025800189763,6.179200000000001,617.9200000000001,0.0,0.1,0.2,39.96,101.68116666666668,0.3996,"[10, 10, 10]",-0.5,0.8
degreeTopM,100,600,27.888333333333332,19.782530555555557,4.447755676243419,5.519316666666667,551.9316666666666,0.0,0.1,0.2,28.10333333333333,83.189,0.2810333333333333,"[10, 10, 10]",-0.5,0.8
pageRank,100,600,30.036666666666665,20.441988888888886,4.5212817749935565,5.672166666666667,567.2166666666667,0.0,0.1,0.2,30.21,86.845,0.30210000000000004,"[10, 10, 10]",-0.5,0.8
alpha_sort,100,600,58.73166666666667,25.532997222222225,5.053018624765025,4.4463,444.63,0.0,0.1,0.2,58.86666666666667,103.26216666666667,0.5886666666666667,"[10, 10, 10]",-0.5,0.8
ris_path_aware,100,600,50.61,22.46123333333333,4.739328363105191,6.9902,699.02,0.0,0.1,0.2,50.96,120.687,0.5096,"[10, 10, 10]",-0.5,0.8
1hop_sort,100,600,59.29666666666667,21.948655555555558,4.684939226452736,4.374716666666666,437.47166666666664,0.0,0.1,0.2,62.30833333333333,104.54966666666667,0.6230833333333333,"[10, 10, 10]",-0.5,0.8
random,100,600,28.338333333333335,20.73719722222222,4.553811285310605,4.055766666666667,405.5766666666667,0.0,0.1,0.4,28.38,68.91683333333334,0.2838,"[10, 10, 10]",-0.5,0.8
degreeTopM,100,600,16.111666666666668,13.522530555555555,3.677299356260727,3.3304833333333335,333.04833333333335,0.0,0.1,0.4,16.185,49.45316666666667,0.16185,"[10, 10, 10]",-0.5,0.8
pageRank,100,600,17.84,14.901066666666665,3.860189978053757,3.513316666666667,351.3316666666667,0.0,0.1,0.4,17.915,53.01066666666667,0.17915,"[10, 10, 10]",-0.5,0.8
alpha_sort,100,600,51.278333333333336,24.77419722222222,4.977368503760016,3.0416,304.15999999999997,0.0,0.1,0.4,51.41166666666667,81.761,0.5141166666666667,"[10, 10, 10]",-0.5,0.8
ris_path_aware,100,600,47.69166666666667,22.696597222222223,4.7640945857762125,5.3658166666666665,536.5816666666666,0.0,0.1,0.4,47.95,101.479,0.47950000000000004,"[10, 10, 10]",-0.5,0.8
1hop_sort,100,600,52.45166666666667,23.764330555555556,4.874867234659376,3.11225,311.225,0.0,0.1,0.4,54.53666666666667,84.61666666666667,0.5453666666666667,"[10, 10, 10]",-0.5,0.8
random,100,600,21.55,16.514166666666668,4.063762624301113,3.1061666666666667,310.6166666666667,0.0,0.1,0.6,21.583333333333332,52.62833333333333,0.21583333333333332,"[10, 10, 10]",-0.5,0.8
degreeTopM,100,600,9.485,8.049775,2.837212540505205,2.2462333333333335,224.62333333333336,0.0,0.1,0.6,9.515,31.962333333333337,0.09515000000000001,"[10, 10, 10]",-0.5,0.8
pageRank,100,600,9.983333333333333,9.71638888888889,3.117112267610663,2.287733333333333,228.7733333333333,0.0,0.1,0.6,10.0,32.869,0.1,"[10, 10, 10]",-0.5,0.8
alpha_sort,100,600,47.15,21.740833333333335,4.662706653150435,2.4559333333333333,245.59333333333333,0.0,0.1,0.6,47.16,71.71433333333334,0.47159999999999996,"[10, 10, 10]",-0.5,0.8
ris_path_aware,100,600,45.025,21.484375,4.635124054434789,4.2575,425.75,0.0,0.1,0.6,45.17666666666667,87.67583333333334,0.4517666666666667,"[10, 10, 10]",-0.5,0.8
1hop_sort,100,600,49.17333333333333,22.84328888888889,4.779465335044171,2.576783333333333,257.67833333333334,0.0,0.1,0.6,49.70166666666667,75.20533333333333,0.49701666666666666,"[10, 10, 10]",-0.5,0.8
random,100,600,17.958333333333332,13.796597222222223,3.714377097471691,2.5616666666666665,256.16666666666663,0.0,0.1,0.8,17.966666666666665,43.579166666666666,0.17966666666666664,"[10, 10, 10]",-0.5,0.8
degreeTopM,100,600,6.418333333333333,5.793330555555555,2.4069338494349104,1.5656833333333333,156.56833333333333,0.0,0.1,0.8,6.448333333333333,22.09016666666667,0.06448333333333334,"[10, 10, 10]",-0.5,0.8
pageRank,100,600,6.95,6.174166666666667,2.484787046542755,1.6284166666666668,162.8416666666667,0.0,0.1,0.8,6.965,23.24166666666667,0.06965,"[10, 10, 10]",-0.5,0.8
alpha_sort,100,600,45.833333333333336,24.405555555555555,4.940197926759165,2.0651666666666664,206.51666666666665,0.0,0.1,0.8,45.843333333333334,66.49000000000001,0.45843333333333336,"[10, 10, 10]",-0.5,0.8
ris_path_aware,100,600,40.17666666666667,21.895455555555557,4.679258013355916,3.5299666666666667,352.99666666666667,0.0,0.1,0.8,40.31166666666667,75.54383333333334,0.4031166666666667,"[10, 10, 10]",-0.5,0.8
1hop_sort,100,600,42.315,18.759108333333334,4.331178630965633,2.290766666666667,229.07666666666668,0.0,0.1,0.8,52.156666666666666,70.1435,0.5215666666666666,"[10, 10, 10]",-0.5,0.8
