method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,10,500,0.514,0.461804,0.6795616234014396,1.342,13.420000000000002,0.514,1.8560000000000003,0.0514,"[10, 10, 10]",-1.5,2.0,1.0
degreeTopM,10,500,0.002,0.001996,0.044676615807377355,1.0426,10.426,0.002,1.0446,0.0002,"[10, 10, 10]",-1.5,2.0,1.0
pageRank,10,500,0.01,0.009899999999999999,0.09949874371066199,1.0492,10.491999999999999,0.01,1.0592,0.001,"[10, 10, 10]",-1.5,2.0,1.0
alpha_sort,10,500,0.798,0.7091959999999999,0.842137755952077,1.3776,13.776,0.798,2.1756,0.07980000000000001,"[10, 10, 10]",-1.5,2.0,1.0
ris_optimized,10,500,0.71,0.6419000000000001,0.8011866199581719,1.367,13.67,0.71,2.077,0.071,"[10, 10, 10]",-1.5,2.0,1.0
1hop_sort,10,500,0.8,0.756,0.8694826047713663,1.428,14.28,0.8,2.2279999999999998,0.08,"[10, 10, 10]",-1.5,2.0,1.0
random,20,500,0.85,0.7835,0.8851553535961921,1.3034000000000001,26.068,0.85,3.4568000000000003,0.042499999999999996,"[10, 10, 10]",-1.5,2.0,1.0
degreeTopM,20,500,0.032,0.030976000000000007,0.17600000000000002,1.0559,21.118000000000002,0.032,2.1438,0.0016,"[10, 10, 10]",-1.5,2.0,1.0
pageRank,20,500,0.02,0.019599999999999996,0.13999999999999999,1.0576999999999999,21.153999999999996,0.02,2.1353999999999997,0.001,"[10, 10, 10]",-1.5,2.0,1.0
alpha_sort,20,500,1.562,1.370156,1.1705366290723243,1.3578000000000001,27.156000000000002,1.562,4.2776000000000005,0.0781,"[10, 10, 10]",-1.5,2.0,1.0
ris_optimized,20,500,1.342,1.281036,1.1318286089333491,1.3743,27.486,1.342,4.0906,0.0671,"[10, 10, 10]",-1.5,2.0,1.0
1hop_sort,20,500,1.582,1.4712759999999998,1.2129616646868935,1.4216000000000002,28.432000000000002,1.582,4.4252,0.0791,"[10, 10, 10]",-1.5,2.0,1.0
random,30,500,1.018,0.9776760000000002,0.9887749996839524,1.3064,39.192,1.018,4.9372,0.033933333333333336,"[10, 10, 10]",-1.5,2.0,1.0
degreeTopM,30,500,0.038,0.040555999999999995,0.20138520303140445,1.0679333333333334,32.038000000000004,0.038,3.2418000000000005,0.0012666666666666666,"[10, 10, 10]",-1.5,2.0,1.0
pageRank,30,500,0.054,0.059084000000000005,0.24307200579252233,1.0724,32.172,0.054,3.2712,0.0018,"[10, 10, 10]",-1.5,2.0,1.0
alpha_sort,30,500,2.27,2.0011,1.4146024176424978,1.3571999999999997,40.715999999999994,2.27,6.3416,0.07566666666666667,"[10, 10, 10]",-1.5,2.0,1.0
ris_optimized,30,500,1.986,1.7858040000000002,1.3363397771525025,1.3789333333333333,41.368,1.986,6.1228,0.0662,"[10, 10, 10]",-1.5,2.0,1.0
1hop_sort,30,500,2.258,2.0314360000000002,1.4252845329968329,1.4205333333333332,42.616,2.258,6.5196000000000005,0.07526666666666666,"[10, 10, 10]",-1.5,2.0,1.0
random,40,500,1.174,1.027724,1.0137672316661257,1.29055,51.622,1.174,6.3362,0.029349999999999998,"[10, 10, 10]",-1.5,2.0,1.0
degreeTopM,40,500,0.062,0.05815599999999998,0.24115555146004825,1.0712000000000002,42.848000000000006,0.062,4.346800000000001,0.00155,"[10, 10, 10]",-1.5,2.0,1.0
pageRank,40,500,0.07,0.0691,0.2628687885618983,1.0723,42.892,0.07,4.3592,0.0017500000000000003,"[10, 10, 10]",-1.5,2.0,1.0
alpha_sort,40,500,2.966,2.4488440000000002,1.5648782700261386,1.3756499999999998,55.025999999999996,2.966,8.4686,0.07415000000000001,"[10, 10, 10]",-1.5,2.0,1.0
ris_optimized,40,500,2.61,2.3458999999999994,1.531633115338004,1.36435,54.574,2.61,8.0674,0.06525,"[10, 10, 10]",-1.5,2.0,1.0
1hop_sort,40,500,2.882,2.468076,1.5710111393621624,1.40925,56.37,2.882,8.519,0.07205,"[10, 10, 10]",-1.5,2.0,1.0
random,50,500,1.6,1.472,1.2132600710482482,1.28572,64.286,1.6,8.0286,0.032,"[10, 10, 10]",-1.5,2.0,1.0
