method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,10,500,0.064,0.05990399999999999,0.24475293665245365,1.1812,11.812000000000001,0.064,1.2452000000000003,0.0064,"[10, 10, 10]",-1.5,2.0,1.0
degreeTopM,10,500,0.004,0.0039840000000000006,0.063118935352238,1.0528,10.527999999999999,0.004,1.0568,0.0004,"[10, 10, 10]",-1.5,2.0,1.0
pageRank,10,500,0.006,0.005964000000000002,0.07722693830523131,1.055,10.549999999999999,0.006,1.061,0.0006000000000000001,"[10, 10, 10]",-1.5,2.0,1.0
alpha_sort,10,500,0.648,0.6200959999999999,0.7874617451025795,1.347,13.469999999999999,0.648,1.995,0.0648,"[10, 10, 10]",-1.5,2.0,1.0
ris_optimized,10,500,0.636,0.6155039999999999,0.7845406299230142,1.3565999999999998,13.565999999999999,0.636,1.9926,0.0636,"[10, 10, 10]",-1.5,2.0,1.0
1hop_sort,10,500,0.646,0.624684,0.7903695338257921,1.3576,13.575999999999999,0.646,2.0036,0.0646,"[10, 10, 10]",-1.5,2.0,1.0
random,20,500,0.206,0.20356400000000002,0.45118067334494727,1.2011999999999998,24.023999999999997,0.206,2.6084,0.0103,"[10, 10, 10]",-1.5,2.0,1.0
degreeTopM,20,500,0.004,0.0039840000000000006,0.063118935352238,1.0645,21.29,0.004,2.133,0.0002,"[10, 10, 10]",-1.5,2.0,1.0
pageRank,20,500,0.002,0.0019960000000000004,0.044676615807377355,1.0634000000000001,21.268,0.002,2.1288,0.0001,"[10, 10, 10]",-1.5,2.0,1.0
alpha_sort,20,500,1.29,1.1779000000000002,1.0853110153315502,1.3460999999999999,26.921999999999997,1.29,3.9821999999999997,0.0645,"[10, 10, 10]",-1.5,2.0,1.0
ris_optimized,20,500,1.282,1.2504759999999997,1.1182468421596368,1.3474,26.948,1.282,3.9768000000000003,0.0641,"[10, 10, 10]",-1.5,2.0,1.0
1hop_sort,20,500,1.24,1.1384,1.0669582934679311,1.3434,26.868,1.24,3.9268,0.062,"[10, 10, 10]",-1.5,2.0,1.0
random,30,500,0.294,0.287564,0.5362499417249386,1.1952,35.856,0.294,3.8796000000000004,0.0098,"[10, 10, 10]",-1.5,2.0,1.0
degreeTopM,30,500,0.002,0.0019960000000000004,0.044676615807377355,1.0756666666666668,32.27,0.002,3.229,6.666666666666667e-05,"[10, 10, 10]",-1.5,2.0,1.0
pageRank,30,500,0.016,0.015744000000000005,0.125475097130865,1.0784666666666665,32.35399999999999,0.016,3.2513999999999994,0.0005333333333333334,"[10, 10, 10]",-1.5,2.0,1.0
alpha_sort,30,500,1.658,1.5690359999999999,1.2526116716684386,1.3546666666666667,40.64,1.658,5.7219999999999995,0.055266666666666665,"[10, 10, 10]",-1.5,2.0,1.0
ris_optimized,30,500,1.69,1.6179000000000001,1.2719669807035088,1.3466,40.398,1.69,5.729800000000001,0.05633333333333333,"[10, 10, 10]",-1.5,2.0,1.0
1hop_sort,30,500,1.676,1.7510240000000001,1.3232626345514333,1.358,40.74,1.676,5.750000000000001,0.05586666666666666,"[10, 10, 10]",-1.5,2.0,1.0
random,40,500,0.446,0.40308400000000005,0.6348889666705511,1.21695,48.678,0.446,5.3138,0.01115,"[10, 10, 10]",-1.5,2.0,1.0
degreeTopM,40,500,0.01,0.009899999999999999,0.09949874371066199,1.0798999999999999,43.196,0.01,4.3296,0.00025,"[10, 10, 10]",-1.5,2.0,1.0
pageRank,40,500,0.032,0.030976000000000004,0.17600000000000002,1.08525,43.410000000000004,0.032,4.373,0.0008,"[10, 10, 10]",-1.5,2.0,1.0
alpha_sort,40,500,1.948,1.797296,1.3406326864581515,1.33645,53.458,1.948,7.293800000000001,0.0487,"[10, 10, 10]",-1.5,2.0,1.0
ris_optimized,40,500,1.92,1.8856,1.3731715115017498,1.33565,53.426,1.92,7.262600000000001,0.048,"[10, 10, 10]",-1.5,2.0,1.0
1hop_sort,40,500,1.952,1.929696,1.3891349826420758,1.3352499999999998,53.41,1.952,7.293,0.048799999999999996,"[10, 10, 10]",-1.5,2.0,1.0
random,50,500,0.454,0.463884,0.6810903023828778,1.20064,60.032,0.454,6.457199999999999,0.00908,"[10, 10, 10]",-1.5,2.0,1.0
degreeTopM,50,500,0.026,0.025324000000000003,0.15913516267626085,1.09096,54.547999999999995,0.026,5.4807999999999995,0.00052,"[10, 10, 10]",-1.5,2.0,1.0
pageRank,50,500,0.05,0.05149999999999999,0.22693611435820432,1.0953600000000001,54.76800000000001,0.05,5.526800000000001,0.001,"[10, 10, 10]",-1.5,2.0,1.0
alpha_sort,50,500,2.076,2.122224,1.456785502399032,1.32336,66.168,2.076,8.692800000000002,0.04152,"[10, 10, 10]",-1.5,2.0,1.0
ris_optimized,50,500,2.036,1.974704,1.405241616235443,1.32316,66.158,2.036,8.6518,0.04072,"[10, 10, 10]",-1.5,2.0,1.0
1hop_sort,50,500,2.086,2.250604,1.500201319823443,1.3206,66.03,2.086,8.689,0.04172,"[10, 10, 10]",-1.5,2.0,1.0
random,60,500,0.54,0.5123999999999999,0.7158212067269312,1.2006000000000001,72.036,0.54,7.743600000000001,0.009000000000000001,"[10, 10, 10]",-1.5,2.0,1.0
