method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,60,500,19.314,10.395404000000001,3.224190441025468,2.5300333333333334,0.32273333333333337,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,60,500,9.504,6.969983999999998,2.6400727262710015,2.0407,0.15876666666666667,"[10, 10, 10]",0.1,0.1,0.1
pageRank,60,500,11.278,8.000716,2.8285536940280984,2.0399,0.18826666666666667,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,60,500,56.894,2.622764,1.6194949830116796,1.0,0.9482333333333333,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,60,500,56.894,2.622764,1.6194949830116796,1.0,0.9482333333333333,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,60,500,54.898,2.803596,1.6743942188146734,1.0844666666666667,0.9150333333333334,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,60,500,56.894,2.622764,1.6194949830116796,1.0,0.9482333333333333,"[10, 10, 10]",0.1,0.1,0.1
random,80,500,28.272,11.282016,3.3588712389729976,2.4921250000000006,0.35525,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,80,500,13.918,10.147276000000002,3.1854789278850992,2.1791500000000004,0.174475,"[10, 10, 10]",0.1,0.1,0.1
pageRank,80,500,16.428,10.428816000000001,3.2293677399763565,2.1853249999999997,0.20600000000000002,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,80,500,76.034,3.648844000000001,1.910194754468769,1.0,0.9504250000000001,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,80,500,71.886,4.565004000000001,2.136586997994699,1.1295250000000001,0.89885,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,80,500,72.486,4.245804000000001,2.0605348820148617,1.11055,0.90615,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,80,500,76.034,3.648844000000001,1.910194754468769,1.0,0.9504250000000001,"[10, 10, 10]",0.1,0.1,0.1
random,100,500,39.492,15.745935999999999,3.9681149176907664,2.3931999999999998,0.39716,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,100,500,18.79,15.541900000000002,3.942321651007183,2.25958,0.18866,"[10, 10, 10]",0.1,0.1,0.1
pageRank,100,500,21.94,15.8684,3.9835160348616645,2.26896,0.22014,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,100,500,95.216,4.405344,2.0988911358143376,1.0,0.9521599999999999,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,100,500,90.454,5.107884,2.260062830985015,1.12862,0.9047799999999999,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,100,500,87.288,5.737056,2.3952152304124987,1.18366,0.87312,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,100,500,95.216,4.405344,2.0988911358143376,1.0,0.9521599999999999,"[10, 10, 10]",0.1,0.1,0.1
random,120,500,40.32,19.0016,4.359082472264089,2.5936833333333333,0.33755,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,120,500,23.552,18.007296000000004,4.243500441852222,2.3213333333333335,0.19733333333333333,"[10, 10, 10]",0.1,0.1,0.1
pageRank,120,500,26.874,19.054123999999995,4.365102977021275,2.3152166666666663,0.22536666666666666,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,120,500,114.004,5.559984,2.3579618317521596,1.0,0.9500333333333334,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,120,500,106.31,6.7179,2.5918912014203066,1.1534666666666666,0.8861833333333333,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,120,500,106.504,7.229984,2.688862956716091,1.1652166666666668,0.88775,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,120,500,114.004,5.559984,2.3579618317521596,1.0,0.9500333333333334,"[10, 10, 10]",0.1,0.1,0.1
random,140,500,46.396,19.175184,4.378947818825888,2.5441,0.3332142857142857,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,140,500,28.298,21.021196,4.584887784886344,2.3518285714285714,0.20302857142857142,"[10, 10, 10]",0.1,0.1,0.1
pageRank,140,500,32.012,21.967856,4.686987945365339,2.3629571428571428,0.2299,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,140,500,133.004,6.5559840000000005,2.5604655826626534,1.0,0.9500285714285713,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,140,500,114.294,10.779563999999999,3.2832246344105056,1.3406571428571428,0.8170428571428571,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,140,500,115.542,10.208236000000001,3.195033020173657,1.3259428571428573,0.8275,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,140,500,133.004,6.5559840000000005,2.5604655826626534,1.0,0.9500285714285713,"[10, 10, 10]",0.1,0.1,0.1
random,300,500,114.568,49.82137599999999,7.058425886839076,2.391906666666667,0.3871133333333333,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,300,500,64.138,51.466955999999996,7.174047393208383,2.4980466666666667,0.21650666666666665,"[10, 10, 10]",0.1,0.1,0.1
pageRank,300,500,71.778,53.468716,7.31223057623322,2.5292266666666667,0.24272000000000002,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,300,500,284.986,12.937803999999996,3.596915901157545,1.0,0.9499533333333333,"[10, 10, 10]",0.1,0.1,0.1
