method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,20,500,5.886,4.413004,2.100715116335387,2.5378999999999996,50.757999999999996,5.886,10.9618,0.2943,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,20,500,0.198,0.186796,0.43219902822657985,1.0,20.0,0.198,2.198,0.0099,"[10, 10, 10]",0.1,0.1,0.1
pageRank,20,500,0.198,0.186796,0.43219902822657985,1.0,20.0,0.198,2.198,0.0099,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,20,500,7.97,4.569100000000001,2.1375453211569577,1.0,20.0,7.97,9.969999999999999,0.39849999999999997,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,20,500,7.97,4.569100000000001,2.1375453211569577,1.0,20.0,7.97,9.969999999999999,0.39849999999999997,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,20,500,7.97,4.569100000000001,2.1375453211569577,1.0,20.0,7.97,9.969999999999999,0.39849999999999997,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,20,500,6.972,4.4032160000000005,2.0983841402374352,1.8296,36.592,6.972,10.6312,0.3486,"[10, 10, 10]",0.1,0.1,0.1
random,40,500,11.828,7.898416,2.810412069430389,2.69045,107.618,11.842,22.5968,0.29605000000000004,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,40,500,5.034,3.620844,1.9028515443933087,1.99735,79.894,5.036,13.0244,0.12589999999999998,"[10, 10, 10]",0.1,0.1,0.1
pageRank,40,500,5.556,4.030864,2.007701172983669,1.9909499999999998,79.63799999999999,5.568,13.525799999999998,0.1392,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,40,500,16.076,9.990223999999998,3.160731560889029,1.0,40.0,16.076,20.076,0.40190000000000003,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,40,500,16.076,9.990223999999998,3.160731560889029,1.0,40.0,16.076,20.076,0.40190000000000003,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,40,500,15.812,10.792656,3.2852178009988924,1.115,44.6,15.812,20.272,0.3953,"[10, 10, 10]",0.1,0.1,0.1
